order_id,customers_name,city,state,order_date,sales_units,total_revenues,product_name,category_name,store_name,sales_rep
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,1,479.9920,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,2,3347.9814,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,2,2943.1000,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,2,1139.9810,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,1,2319.9920,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
4,"Nova Hess",Duarte,CA,2016-01-03,2,1349.9820,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
9,"Neil Mccall","San Carlos",CA,2016-01-05,2,7199.9820,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
12,"Marvin Mullins","San Diego",CA,2016-01-06,2,5219.9820,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
12,"Marvin Mullins","San Diego",CA,2016-01-06,1,1596.9405,"Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
14,"Maribel William",Torrance,CA,2016-01-09,1,437.0907,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
16,"Lea Key",Banning,CA,2016-01-12,1,1439.9920,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
16,"Lea Key",Banning,CA,2016-01-12,1,256.4905,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
16,"Lea Key",Banning,CA,2016-01-12,2,502.1814,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
16,"Lea Key",Banning,CA,2016-01-12,1,251.0907,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
17,"Sindy Anderson",Pomona,CA,2016-01-12,1,1673.9907,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
17,"Sindy Anderson",Pomona,CA,2016-01-12,1,269.9910,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
17,"Sindy Anderson",Pomona,CA,2016-01-12,1,1188.8910,"Heller Shagamaw Frame - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
17,"Sindy Anderson",Pomona,CA,2016-01-12,2,959.9840,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton",Coachella,CA,2016-01-14,2,1199.9840,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton",Coachella,CA,2016-01-14,1,256.4905,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton",Coachella,CA,2016-01-14,1,3599.9910,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton",Coachella,CA,2016-01-14,2,949.9810,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
18,"Lanita Burton",Coachella,CA,2016-01-14,2,5399.9820,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Genna Serrano"
19,"Norine Huffman",Encino,CA,2016-01-14,1,1440.5700,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
19,"Norine Huffman",Encino,CA,2016-01-14,2,4799.9840,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Mireya Copeland"
20,"Randee Pitts","Canyon Country",CA,2016-01-14,1,2789.9907,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Mireya Copeland"
20,"Randee Pitts","Canyon Country",CA,2016-01-14,2,2881.1400,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
22,"Tangela Hurley",Campbell,CA,2016-01-16,2,847.9840,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
22,"Tangela Hurley",Campbell,CA,2016-01-16,1,256.4905,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
23,"Drucilla Gilliam","Santa Clara",CA,2016-01-16,2,5509.9810,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
23,"Drucilla Gilliam","Santa Clara",CA,2016-01-16,2,539.9820,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
23,"Drucilla Gilliam","Santa Clara",CA,2016-01-16,1,215.9920,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
32,"Kimbery Nieves","San Carlos",CA,2016-01-21,2,3347.9814,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
32,"Kimbery Nieves","San Carlos",CA,2016-01-21,2,1022.9814,"Electra Townie Original 21D - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
32,"Kimbery Nieves","San Carlos",CA,2016-01-21,2,899.9820,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
40,"Darren Witt",Coachella,CA,2016-01-27,1,343.2000,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
40,"Darren Witt",Coachella,CA,2016-01-27,2,2879.9840,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
52,"Twana Arnold",Anaheim,CA,2016-02-03,1,464.9907,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Mireya Copeland"
60,"Joesph Delacruz",Atwater,CA,2016-02-06,2,512.9810,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
60,"Joesph Delacruz",Atwater,CA,2016-02-06,1,2609.9910,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
60,"Joesph Delacruz",Atwater,CA,2016-02-06,1,492.8907,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
60,"Joesph Delacruz",Atwater,CA,2016-02-06,1,215.9920,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
62,"Denis Logan",Ridgecrest,CA,2016-02-07,1,251.0907,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
62,"Denis Logan",Ridgecrest,CA,2016-02-07,2,3239.9820,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
